ID_1,Province,Area (Ha),Percentage (%)
1,Aceh,535002.0653,3.265800295
2,Bali,,
3,Bangka-Belitung,273842.0334,1.671607367
4,Banten,18365.00224,0.112105043
5,Bengkulu,426508.0521,2.603522888
6,Gorontalo,11257.00137,0.068715844
7,Irian Jaya Barat,58656.00716,0.35805246
8,Jakarta Raya,,
9,Jambi,1134640.139,6.926156625
10,Jawa Barat,14997.00183,0.091545839
11,Jawa Tengah,,
12,Jawa Timur,,
13,Kalimantan Barat,1807643.221,11.03435322
14,Kalimantan Selatan,549953.0671,3.357065337
15,Kalimantan Tengah,1778702.217,10.85768935
16,Kalimantan Timur,1287449.157,7.858945058
17,Kalimantan Utara,234535.0286,1.431666559
18,Kepulauan Riau,4926.000601,0.030069668
19,Lampung,268061.0327,1.636318542
20,Maluku Utara,3950.000482,0.024111893
21,Maluku,14966.00183,0.091356607
22,Nusa Tenggara Barat,,
23,Nusa Tenggara Timur,,
24,Papua,110496.0135,0.674498169
25,Riau,3387206.414,20.67644299
26,Sulawesi Barat,155958.019,0.952010801
27,Sulawesi Selatan,31980.0039,0.195214772
28,Sulawesi Tengah,110901.0135,0.676970401
29,Sulawesi Tenggara,55786.00681,0.340533185
30,Sulawesi Utara,,
31,Sumatera Barat,558683.0682,3.410355674
32,Sumatera Selatan,1468468.179,8.963935139
33,Sumatera Utara,2079027.254,12.69095628
34,Yogyakarta,,
